Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type
13425616,4 Discounts Fatigue,Desk Organizer.png,$40 (Deal: buy 1 get 1 free),Position 3,20411.800000002957,BOGO
13425616,3 Discounts Fatigue,Laptop Stand.png,$45 (Deal: now $39),Position 3,78484.5,Now price
13430110,3 Discounts Fatigue,Scented Candle (Gift Pack).png,$50 (Deal: now $42),Position 2,20107.5,Now price
13430110,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 1,16495.0,Dollar off
13430110,4 Discounts Fatigue,Bluetooth Speaker.png,$90 (Deal: buy 1 get 1 free),Position 4,68003.69999998808,BOGO
13430110,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: $30 off),Position 3,21547.50000000003,Dollar off
13430110,2 Discounts Fatigue,Leather Wallet.png,$70 (Deal: now $58),Position 2,7160.700000000012,Now price
13430110,2 Discounts Fatigue,Fitness Tracker.png,$95 (Deal: now $80),Position 2,11812.100000023842,Now price
13430110,4 Discounts Fatigue,Electric Kettle.png,$35 (Deal: now $29),Position 3,40722.60000002384,Now price
13430110,3 Discounts Fatigue,Kitchen Knife Set.png,$110 (Deal: now $90),Position 3,24089.49999999994,Now price
13430110,4 Discounts Fatigue,Running Shoes.png,$120 (Deal: buy 1 get 1 50% off),Position 1,14523.30000001192,BOGO
13432012,3 Discounts Fatigue,Scented Candle (Gift Pack).png,$50 (Deal: now $42),Position 2,15108.89999999404,Now price
13432012,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 1,13436.299999988078,Dollar off
13432012,3 Discounts Fatigue,Kitchen Knife Set.png,$110 (Deal: now $90),Position 1,10353.09999998808,Now price
13432012,2 Discounts Fatigue,Wireless Charger.png,$60 (Deal: now $45),Position 1,7266.699999988079,Now price
13432012,4 Discounts Fatigue,Desk Organizer.png,$40 (Deal: buy 1 get 1 free),Position 3,5483.100000000006,BOGO
13432012,3 Discounts Fatigue,Designer Backpack.png,$200 (Deal: buy 1 get 1 30% off),Position 3,15450.099999999991,BOGO
13432012,4 Discounts Fatigue,Running Shoes.png,$120 (Deal: buy 1 get 1 50% off),Position 4,6583.300000011921,BOGO
13432012,4 Discounts Fatigue,Electric Kettle.png,$50 (Deal: buy 1 get 1 40% off),Position 3,4983.300000000003,BOGO
13432012,2 Discounts Fatigue,Fitness Tracker.png,$95 (Deal: now $80),Position 2,5565.500000011918,Now price
13432196,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: 12% off),Position 1,4937.100000047678,Percentage off
13432196,2 Discounts Fatigue,Wireless Charger.png,$60 (Deal: now $45),Position 1,5299.000000023836,Now price
13432196,2 Discounts Fatigue,Air Purifier.png,$320 (Deal: $50 off),Position 2,3128.9000000238448,Dollar off
13432196,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: 15% off),Position 3,10879.30000002384,Percentage off
13432196,4 Discounts Fatigue,Desk Organizer.png,$40 (Deal: buy 1 get 1 free),Position 2,20526.200000047684,BOGO
13432196,4 Discounts Fatigue,Electric Kettle.png,$35 (Deal: now $29),Position 4,18041.800000000003,Now price
13432196,3 Discounts Fatigue,Home Espresso Machine.png,$399 (Deal: buy 1 get 1 free),Position 3,14180.600000047678,BOGO
13432196,3 Discounts Fatigue,Kitchen Knife Set.png,$110 (Deal: now $90),Position 2,3950.999999952328,Now price
13432196,4 Discounts Fatigue,Monitor Stand.png,$50 (Deal: 12% off),Position 1,31062.10000002384,Percentage off
13432989,4 Discounts Fatigue,Running Shoes.png,$120 (Deal: buy 1 get 1 50% off),Position 1,16178.80000002384,BOGO
13432989,4 Discounts Fatigue,Desk Organizer.png,$40 (Deal: buy 1 get 1 free),Position 4,5989.899999952315,BOGO
